n,Dataset,old_n,age,age(old),genotype,strain,name,shape,size,VoxelSizeX,VoxelSizeY,VoxelSizeZ,re-uCT scan,Comments,Phantom,Scaling Value,Arb Value,angle,center
130,EK,265,10,10 months,wt,giantin,giantin sib,"(2000, 560, 560)",627200000,0.021197756043916,0.021197756043916,0.021197756043916,,,LONDON AB,LONDON AB,LONDON AB,340,
131,EK,266,10,10 months,wt,giantin,giantin sib,"(2000, 570, 570)",649800000,0.021197756043916,0.021197756043916,0.021197756043916,,,LONDON AB,LONDON AB,LONDON AB,332,
132,EK,267,10,10 months,wt,giantin,giantin sib,"(2000, 564, 564)",636192000,0.021197756043916,0.021197756043916,0.021197756043916,,,LONDON AB,LONDON AB,LONDON AB,151,
133,EK,268,10,10 months,hom,giantin,giantin -/-,"(2000, 570, 570)",649800000,0.021197756043916,0.021197756043916,0.021197756043916,,,LONDON AB,LONDON AB,LONDON AB,211,
134,EK,269,10,10 months,hom,giantin,giantin -/-,"(2000, 574, 574)",658952000,0.021197756043916,0.021197756043916,0.021197756043916,,,LONDON AB,LONDON AB,LONDON AB,36,
135,EK,270,10,10 months,hom,giantin,giantin -/-,"(2000, 550, 550)",605000000,0.021197756043916,0.021197756043916,0.021197756043916,,,LONDON AB,LONDON AB,LONDON AB,218,
136,EK,271,10,10 months,hom,giantin,giantin -/-,"(2000, 554, 554)",613832000,0.021197756043916,0.021197756043916,0.021197756043916,,,LONDON AB,LONDON AB,LONDON AB,8,
137,EK,272,30,2.5 year,het,chst11,chst11 talen,"(1999, 564, 564)",635873904,0.023070611044133,0.023070611044133,0.023070611044133,* (272_279),HR head and ribs,LONDON AB,LONDON AB,LONDON AB,59,
138,EK,273,30,2.5 year,het,chst11,chst11 talen,"(1999, 580, 580)",672463600,0.023070611044133,0.023070611044133,0.023070611044133,,,LONDON AB,LONDON AB,LONDON AB,301,
139,EK,274,30,2.5 year,het,chst11,chst11 talen,"(1999, 570, 570)",649475100,0.023070611044133,0.023070611044133,0.023070611044133,,,LONDON AB,LONDON AB,LONDON AB,204,
140,EK,275,30,2.5 year,het,chst11,chst11 talen,"(1999, 494, 494)",487827964,0.023070611044133,0.023070611044133,0.023070611044133,,,LONDON AB,LONDON AB,LONDON AB,78,
141,EK,276,30,2.5 year,het,chst11,chst11 talen,"(1999, 570, 570)",649475100,0.023070611044133,0.023070611044133,0.023070611044133,,,LONDON AB,LONDON AB,LONDON AB,161,
142,EK,277,30,2.5 year,wt,chst11,chst11 talen SIBS,"(1999, 604, 604)",729267184,0.023070611044133,0.023070611044133,0.023070611044133,,HR head and ribs,LONDON AB,LONDON AB,LONDON AB,162,
143,EK,278,30,2.5 year,wt,chst11,chst11 talen SIBS,"(1999, 580, 550)",637681000,0.023070611044133,0.023070611044133,0.023070611044133,,,LONDON AB,LONDON AB,LONDON AB,338,
