,Length(cm)
348,19.441164950377125
349,21.800413291000044
350,16.977628958017466
351,19.56898072909021
352,19.16063038348198
353,19.34758016990617
354,24.79576810593839
355,21.794389834430984
356,21.641394724800648
357,19.927663448113524
358,22.059533151406942
359,24.24759604210169
360,21.991317758984813
361,27.43865231803515
362,30.68459062588798
363,29.68902547816863
364,28.747263066920507
365,27.655640187607588
366,29.64268468292684
367,31.920328862081007
368,35.455315598490685
369,29.1681243173448
370,29.266714546978893
371,27.911582320059864
372,30.83468704081164
373,29.542887985771557
374,27.005430575216245
375,31.423766375594532
376,26.2093840979919
377,29.22465722980974
378,21.770996679374488
379,27.132420134386738
380,28.489991284429113
381,28.613150209075933
382,25.888795405417405
383,28.35878374734646
384,18.769662168141856
385,18.046800971939362
386,29.0692753762649
387,25.336931920782384
388,26.749592977798983
389,18.68080316620284
390,19.245035197578822
391,24.930626271716132
392,18.124343742014055
393,21.331974790628497
394,17.317743370727612
395,18.096113889262885
396,18.382508440210415
397,27.658055783518748
398,28.729325266910603
399,27.063711660632766
400,27.58219562687264
401,28.34906241056114
402,28.58977123013661
403,29.160835737712716
404,29.417931983049
405,24.94201223549173
406,27.639734941972698
407,23.603608402516645
408,29.170373998688756
409,32.276400529450015
410,30.060452603224945
411,31.102416815394964
412,26.219271049073402
413,26.81611698405106
414,35.10412272589821
415,36.98169799125064
416,33.68261249114489
417,28.83086134419846
418,28.69565235260578
419,29.489244290372472
420,26.811726926632844
421,27.301298382852192
422,23.233832134557954
423,24.42400474937502
424,24.923776369280002
425,25.28198656428004
426,25.469275395128545
427,28.060922404636337
428,27.894059091877395
429,23.135518419773287
430,26.95410791563638
431,33.54022941751996
432,31.151226736240236
433,36.10618565743438
434,29.173909990582935
435,31.493206063190264
436,35.32960704755602
437,31.708397941242204
438,30.198346964520166
439,29.873739929426662
440,29.398430879869018
441,29.632552502792507
442,34.289834394407336
443,33.04908179753404
444,29.59083259194508
445,30.713408716170832
446,28.339526762523047
447,33.92902743007096
448,30.258850532760004
449,29.3910896284518
450,29.133449262766092
451,28.658759179676963
452,33.44884632584834
453,31.100061035964945
454,31.98347291523366
455,29.33391477339586
